logical_or,function
tanh,function
index_select,function
sin,function
reciprocal,function
tan,function
is_nonzero,function
sort,function
erfc,function
mvlgamma,function
isin,function
randperm,function
log10,function
quasirandom.SobolEngine,class
all,function
load,function
diag,function
empty_like,function
ldexp,function
trapz,function
addcmul,function
set_default_dtype,function
sign,function
prod,function
istft,function
repeat_interleave,function
scatter,function
tensor_split,function
flipud,function
promote_types,function
clip,function
hann_window,function
greater,function
cholesky_solve,function
frexp,function
arcsin,function
set_rng_state,function
lu_solve,function
count_nonzero,function
det,function
numel,function
le,function
nanquantile,function
nanquantile,function
scatter_add,function
quantize_per_tensor,function
logaddexp2,function
Tensor.scatter_reduce_,class
conj,function
logaddexp,function
linspace,function
nextafter,function
dist,function
arange,function
maximum,function
maximum,function
quantile,function
swapaxes,function
take_along_dim,function
imag,function
gt,function
bitwise_or,function
floor,function
tile,function
blackman_window,function
Tensor.uniform_,class
minimum,function
hypot,function
linalg.matrix_exp,class
asinh,function
linalg.inv,class
topk,function
lobpcg,function
acos,function
is_storage,function
sub,function
chunk,function
chunk,function
quantized_batch_norm,function
index_copy,function
linalg.pinv,class
symeig,function
dstack,function
Tensor.normal_,class
isnan,function
heaviside,function
norm,function
std_mean,function
set_warn_always,function
flip,function
resolve_neg,function
use_deterministic_algorithms,function
diff,function
tril,function
sigmoid,function
flatten,function
rsqrt,function
nan_to_num,function
nansum,function
bartlett_window,function
tensor,function
t,function
floor_divide,function
set_default_tensor_type,function
arctan2,function
fix,function
logcumsumexp,function
hamming_window,function
asin,function
triu,function
split,function
einsum,function
sinc,function
movedim,function
complex,function
set_num_interop_threads,function
isreal,function
diagonal_scatter,function
deg2rad,function
any,function
zeros,function
gather,function
permute,function
multiply,function
arctan,function
sgn,function
_assert,function
gradient,function
logical_not,function
less,function
exp2,function
clamp,function
rand,function
pow,function
asarray,function
set_flush_denormal,function
cos,function
kaiser_window,function
tensordot,function
tensordot,function
diag_embed,function
pinverse,function
bitwise_left_shift,function
round,function
index_add,function
chain_matmul,function
absolute,function
vstack,function
equal,function
lerp,function
pca_lowrank,function
msort,function
fake_quantize_per_channel_affine,function
true_divide,function
clone,function
column_stack,function
unbind,function
where,function
logit,function
log2,function
empty_strided,function
vander,function
trapezoid,function
kron,function
cat,function
arccosh,function
igammac,function
geqrf,function
ones,function
bmm,function
erfinv,function
fmin,function
svd,function
cosh,function
trunc,function
Tensor.random_,class
addr,function
cov,function
less_equal,function
cdist,function
nanmean,function
argmax,function
isposinf,function
fake_quantize_per_tensor_affine,function
trace,function
trace,function
as_strided,function
as_strided,function
subtract,function
meshgrid,function
Tensor.index_reduce_,class
bernoulli,function
argsort,function
angle,function
searchsorted,function
searchsorted,function
nonzero,function
rad2deg,function
randint,function
randint,function
mode,function
vsplit,function
stack,function
cartesian_prod,function
tril_indices,function
logical_xor,function
float_power,function
amax,function
digamma,function
dot,function
cholesky,function
matrix_power,function
combinations,function
aminmax,function
var,function
narrow,function
quantized_max_pool2d,function
lu_unpack,function
from_dlpack,function
addmv,function
slogdet,function
max,function
div,function
slice_scatter,function
exp,function
qr,function
ravel,function
polygamma,function
cumprod,function
rand_like,function
argmin,function
argmin,function
argmin,function
Tensor.exponential_,class
reshape,function
gcd,function
log1p,function
lstsq,function
linalg.householder_product,class
fliplr,function
ormqr,function
not_equal,function
from_numpy,function
sqrt,function
dequantize,function
rot90,function
poisson,function
allclose,function
lcm,function
mul,function
as_tensor,function
addcdiv,function
randn,function
square,function
swapdims,function
zeros_like,function
atanh,function
normal,function
eig,function
eig,function
argwhere,function
baddbmm,function
baddbmm,function
ones_like,function
i0,function
row_stack,function
select_scatter,function
std,function
arcsinh,function
ger,function
multinomial,function
add,function
view_as_real,function
view_as_real,function
inner,function
dsplit,function
result_type,function
squeeze,function
vdot,function
mm,function
mm,function
Tensor.index_add_,class
log,function
negative,function
Tensor.bernoulli_,class
histogramdd,function
histogramdd,function
logspace,function
logsumexp,function
unsqueeze,function
broadcast_to,function
frac,function
abs,function
empty,function
range,function
set_float32_matmul_precision,function
isneginf,function
save,function
cummax,function
view_as_complex,function
nanmedian,function
matrix_exp,function
arctanh,function
atan2,function
corrcoef,function
is_conj,function
lu,function
bitwise_xor,function
cumulative_trapezoid,function
bitwise_not,function
neg,function
masked_select,function
greater_equal,function
bucketize,function
conj_physical,function
sinh,function
polar,function
addmm,function
acosh,function
isclose,function
is_complex,function
signbit,function
xlogy,function
Tensor.scatter_add_,class
Tensor.geometric_,class
eq,function
renorm,function
renorm,function
renorm,function
